,epoch,train_loss,accuracy
0,0,4.733,0.237
1,1,3.717,0.31
2,2,3.218,0.347
3,3,2.956,0.354
4,4,2.785,0.378
5,5,2.655,0.375
6,6,2.567,0.365
7,7,2.473,0.377
8,8,2.408,0.371
9,9,2.369,0.376
10,10,2.329,0.379
11,11,2.307,0.382
12,12,2.104,0.405
13,13,2.032,0.401
14,14,2.014,0.404
15,15,1.988,0.401
16,16,1.954,0.411
17,17,1.939,0.407
18,18,1.957,0.408
19,19,1.938,0.406
20,20,1.926,0.407
21,21,1.905,0.403
22,22,1.911,0.41
23,23,1.864,0.415
24,24,1.88,0.414
25,25,1.855,0.41
26,26,1.863,0.415
27,27,1.874,0.41
28,28,1.864,0.417
29,29,1.882,0.415
30,30,1.86,0.416
31,31,1.847,0.415
32,32,1.858,0.413
33,33,1.873,0.408
34,34,1.862,0.411
35,35,1.851,0.411
36,36,1.827,0.416
37,37,1.867,0.415
38,38,1.85,0.412
39,39,1.851,0.413
40,40,1.871,0.41
41,41,1.841,0.408
42,42,1.841,0.411
43,43,1.848,0.411
44,44,1.853,0.41
45,45,1.839,0.413
46,46,1.845,0.412
47,47,1.85,0.412
48,48,1.845,0.413
49,49,1.853,0.415
50,50,1.844,0.412
51,51,1.838,0.413
52,52,1.849,0.412
53,53,1.849,0.412
54,54,1.837,0.41
55,55,1.836,0.414
56,56,1.85,0.412
57,57,1.825,0.414
58,58,1.853,0.414
59,59,1.856,0.411
60,60,1.849,0.411
61,61,1.847,0.415
62,62,1.847,0.414
63,63,1.842,0.413
64,64,1.877,0.411
65,65,1.871,0.409
66,66,1.853,0.412
67,67,1.847,0.411
68,68,1.855,0.412
69,69,1.863,0.412
70,70,1.823,0.412
71,71,1.846,0.412
72,72,1.834,0.412
73,73,1.849,0.411
74,74,1.843,0.411
75,75,1.858,0.413
76,76,1.823,0.415
77,77,1.86,0.411
78,78,1.848,0.414
79,79,1.859,0.412
80,80,1.846,0.413
81,81,1.843,0.413
82,82,1.861,0.413
83,83,1.838,0.412
84,84,1.86,0.412
85,85,1.839,0.415
86,86,1.842,0.413
87,87,1.859,0.413
88,88,1.845,0.412
89,89,1.855,0.413
90,90,1.853,0.413
91,91,1.838,0.414
92,92,1.852,0.415
93,93,1.846,0.413
94,94,1.838,0.41
95,95,1.86,0.414
96,96,1.854,0.41
97,97,1.847,0.413
98,98,1.872,0.412
99,99,1.862,0.412
