,epoch,train_loss,accuracy
0,0,5.692,0.112
1,1,4.871,0.151
2,2,4.615,0.175
3,3,4.449,0.181
4,4,4.322,0.195
5,5,4.228,0.225
6,6,4.143,0.232
7,7,4.097,0.223
8,8,4.051,0.241
9,9,3.992,0.237
10,10,3.987,0.238
11,11,3.93,0.234
12,12,3.897,0.236
13,13,3.865,0.237
14,14,3.831,0.237
15,15,3.778,0.248
16,16,3.758,0.243
17,17,3.694,0.249
18,18,3.671,0.245
19,19,3.618,0.247
20,20,3.568,0.253
21,21,3.507,0.261
22,22,3.476,0.268
23,23,3.407,0.269
24,24,3.354,0.278
25,25,3.272,0.284
26,26,3.219,0.293
27,27,3.158,0.298
28,28,3.087,0.311
29,29,3.036,0.314
30,30,2.97,0.32
31,31,2.943,0.336
32,32,2.881,0.332
33,33,2.838,0.337
34,34,2.797,0.346
35,35,2.762,0.348
36,36,2.715,0.349
37,37,2.677,0.35
38,38,2.661,0.356
39,39,2.612,0.354
40,40,2.59,0.35
41,41,2.554,0.354
42,42,2.523,0.358
43,43,2.505,0.362
44,44,2.483,0.36
45,45,2.44,0.36
46,46,2.43,0.362
47,47,2.403,0.365
48,48,2.39,0.362
49,49,2.36,0.371
50,50,2.329,0.369
51,51,2.337,0.373
52,52,2.321,0.376
53,53,2.285,0.376
54,54,2.273,0.382
55,55,2.257,0.366
56,56,2.253,0.372
57,57,2.234,0.374
58,58,2.222,0.369
59,59,2.2,0.37
60,60,2.165,0.376
61,61,2.186,0.377
62,62,2.144,0.369
63,63,2.153,0.377
64,64,2.134,0.373
65,65,2.124,0.373
66,66,2.094,0.373
67,67,2.105,0.373
68,68,2.077,0.366
69,69,2.07,0.37
70,70,2.06,0.38
71,71,2.03,0.376
72,72,2.047,0.379
73,73,2.046,0.37
74,74,2.021,0.379
75,75,2.02,0.384
76,76,1.984,0.374
77,77,1.989,0.374
78,78,2.013,0.381
79,79,1.973,0.385
80,80,1.995,0.376
81,81,1.975,0.384
82,82,1.944,0.379
83,83,1.943,0.385
84,84,1.948,0.382
85,85,1.943,0.374
86,86,1.917,0.381
87,87,1.912,0.388
88,88,1.929,0.378
89,89,1.9,0.377
90,90,1.898,0.381
91,91,1.904,0.379
92,92,1.915,0.378
93,93,1.883,0.378
94,94,1.886,0.379
95,95,1.885,0.382
96,96,1.883,0.385
97,97,1.857,0.39
98,98,1.868,0.385
99,99,1.852,0.387
