,epoch,train_loss,accuracy
0,0,6.659,0.112
1,1,6.092,0.164
2,2,5.802,0.216
3,3,5.66,0.224
4,4,5.571,0.229
5,5,5.507,0.237
6,6,5.432,0.247
7,7,5.369,0.253
8,8,5.299,0.264
9,9,5.239,0.267
10,10,5.193,0.28
11,11,5.116,0.285
12,12,5.05,0.298
13,13,4.996,0.302
14,14,4.941,0.314
15,15,4.868,0.327
16,16,4.814,0.326
17,17,4.787,0.334
18,18,4.743,0.344
19,19,4.711,0.34
20,20,4.682,0.35
21,21,4.648,0.35
22,22,4.608,0.345
23,23,4.583,0.353
24,24,4.567,0.35
25,25,4.532,0.355
26,26,4.515,0.362
27,27,4.491,0.364
28,28,4.472,0.361
29,29,4.451,0.363
30,30,4.429,0.375
31,31,4.414,0.37
32,32,4.394,0.377
33,33,4.369,0.372
34,34,4.367,0.376
35,35,4.349,0.38
36,36,4.337,0.371
37,37,4.309,0.37
38,38,4.317,0.373
39,39,4.288,0.371
40,40,4.282,0.384
41,41,4.257,0.37
42,42,4.249,0.373
43,43,4.241,0.378
44,44,4.24,0.375
45,45,4.22,0.377
46,46,4.223,0.38
47,47,4.199,0.381
48,48,4.204,0.382
49,49,4.182,0.386
50,50,4.169,0.38
51,51,4.164,0.377
52,52,4.155,0.39
53,53,4.157,0.382
54,54,4.133,0.385
55,55,4.137,0.39
56,56,4.133,0.384
57,57,4.129,0.382
58,58,4.12,0.391
59,59,4.117,0.39
60,60,4.108,0.39
61,61,4.091,0.387
62,62,4.099,0.389
63,63,4.079,0.39
64,64,4.08,0.386
65,65,4.075,0.387
66,66,4.074,0.387
67,67,4.059,0.39
68,68,4.065,0.391
69,69,4.048,0.396
70,70,4.037,0.396
71,71,4.047,0.391
72,72,4.037,0.39
73,73,4.031,0.386
74,74,4.029,0.394
75,75,4.019,0.395
76,76,4.019,0.389
77,77,4.017,0.396
78,78,4.01,0.389
79,79,4.009,0.398
80,80,4.002,0.391
81,81,3.992,0.393
82,82,3.995,0.392
83,83,3.988,0.389
84,84,3.992,0.398
85,85,3.981,0.402
86,86,3.978,0.397
87,87,3.974,0.392
88,88,3.967,0.401
89,89,3.972,0.404
90,90,3.974,0.4
91,91,3.966,0.395
92,92,3.955,0.398
93,93,3.954,0.396
94,94,3.959,0.391
95,95,3.958,0.395
96,96,3.95,0.396
97,97,3.944,0.402
98,98,3.936,0.401
99,99,3.929,0.401
