,epoch,train_loss,accuracy
0,0,4.728,0.244
1,1,3.751,0.308
2,2,3.287,0.325
3,3,3.015,0.356
4,4,2.817,0.357
5,5,2.686,0.371
6,6,2.608,0.369
7,7,2.509,0.371
8,8,2.438,0.37
9,9,2.391,0.377
10,10,2.325,0.381
11,11,2.297,0.377
12,12,2.123,0.397
13,13,2.033,0.393
14,14,2.016,0.397
15,15,1.991,0.394
16,16,1.972,0.397
17,17,1.958,0.393
18,18,1.938,0.402
19,19,1.926,0.4
20,20,1.921,0.398
21,21,1.907,0.39
22,22,1.904,0.397
23,23,1.866,0.395
24,24,1.89,0.394
25,25,1.864,0.4
26,26,1.864,0.396
27,27,1.867,0.397
28,28,1.868,0.393
29,29,1.856,0.396
30,30,1.849,0.399
31,31,1.859,0.398
32,32,1.85,0.398
33,33,1.871,0.398
34,34,1.863,0.401
35,35,1.857,0.399
36,36,1.866,0.398
37,37,1.847,0.399
38,38,1.843,0.4
39,39,1.862,0.398
40,40,1.859,0.399
41,41,1.868,0.399
42,42,1.864,0.397
43,43,1.848,0.399
44,44,1.861,0.399
45,45,1.862,0.396
46,46,1.84,0.396
47,47,1.86,0.398
48,48,1.839,0.395
49,49,1.862,0.397
50,50,1.856,0.397
51,51,1.859,0.397
52,52,1.858,0.397
53,53,1.852,0.395
54,54,1.838,0.397
55,55,1.861,0.398
56,56,1.852,0.397
57,57,1.847,0.395
58,58,1.864,0.398
59,59,1.862,0.397
60,60,1.847,0.399
61,61,1.859,0.399
62,62,1.866,0.397
63,63,1.844,0.4
64,64,1.857,0.398
65,65,1.839,0.401
66,66,1.873,0.398
67,67,1.846,0.4
68,68,1.878,0.399
69,69,1.825,0.398
70,70,1.852,0.396
71,71,1.853,0.396
72,72,1.841,0.401
73,73,1.843,0.397
74,74,1.838,0.397
75,75,1.857,0.399
76,76,1.855,0.398
77,77,1.858,0.397
78,78,1.863,0.399
79,79,1.864,0.399
80,80,1.847,0.398
81,81,1.84,0.396
82,82,1.864,0.395
83,83,1.846,0.397
84,84,1.844,0.399
85,85,1.854,0.397
86,86,1.838,0.398
87,87,1.865,0.397
88,88,1.853,0.399
89,89,1.859,0.397
90,90,1.86,0.398
91,91,1.864,0.393
92,92,1.855,0.398
93,93,1.856,0.399
94,94,1.844,0.399
95,95,1.839,0.398
96,96,1.848,0.396
97,97,1.839,0.397
98,98,1.857,0.399
99,99,1.875,0.396
