epoch,training_acc,training_loss
0,38.04,835.02
1,43.06,799.98
2,47.28,785.61
3,51.04,770.44
4,51.27,758.52
5,55.25,747.89
6,56.82,737.67
7,59.35,729.59
8,60.36,721.67
9,58.8,715.59
10,63.19,707.49
11,64.1,701.19
12,64.01,694.67
13,65.76,687.7
14,65.95,682.54
15,66.54,676.92
16,67.66,671.18
17,69.15,665.78
18,69.0,660.69
19,69.22,657.0
20,70.15,651.34
21,70.68,647.18
22,70.25,642.47
23,71.37,639.15
24,71.32,635.24
25,71.2,631.65
26,71.07,628.68
27,71.29,626.39
28,71.71,623.64
29,72.13,621.0
30,71.74,619.15
31,71.69,618.67
32,72.36,617.61
33,72.14,615.22
34,72.35,614.2
35,71.53,612.43
36,72.24,611.51
37,72.28,611.3
38,72.73,610.21
39,72.99,609.97
