epoch,training_acc,training_loss
0,35.95,847.85
1,41.12,811.84
2,42.53,795.41
3,47.69,781.57
4,51.91,768.72
5,53.29,756.7
6,54.87,748.56
7,57.45,738.87
8,55.51,730.48
9,61.27,723.91
10,61.1,715.09
11,61.99,709.5
12,63.12,702.08
13,63.96,696.2
14,65.59,689.54
15,66.49,683.95
16,66.83,677.95
17,67.29,673.86
18,68.31,668.55
19,68.68,663.31
20,67.39,658.26
21,69.15,653.98
22,69.19,649.84
23,70.1,644.73
24,69.49,641.12
25,70.3,638.91
26,70.09,635.23
27,70.75,632.93
28,70.56,630.38
29,70.91,626.91
30,70.42,624.4
31,71.77,623.16
32,71.13,621.29
33,70.99,619.72
34,71.37,618.03
35,71.23,617.28
36,70.98,616.21
37,71.51,615.08
38,71.49,613.98
39,71.72,613.39
