epoch,training_acc,training_loss
0,36.48,839.51
1,42.2,803.66
2,46.87,786.19
3,48.89,771.27
4,53.16,757.24
5,55.48,745.2
6,57.8,736.02
7,59.76,726.16
8,61.6,718.14
9,61.29,710.08
10,63.46,703.95
11,64.35,696.37
12,64.02,690.08
13,66.12,683.94
14,66.81,677.33
15,68.0,673.06
16,69.02,668.19
17,68.73,662.35
18,68.58,657.47
19,70.01,653.25
20,68.77,648.82
21,70.63,645.28
22,70.06,641.51
23,70.36,637.49
24,70.53,633.42
25,70.5,631.23
26,70.78,628.76
27,70.95,626.02
28,70.94,623.85
29,71.8,621.96
30,71.33,621.2
31,72.22,618.82
32,71.61,616.67
33,72.05,615.81
34,71.8,614.52
35,72.11,612.76
36,72.23,612.54
37,71.71,611.2
38,72.19,609.84
39,72.7,608.96
