epoch,training_acc,training_loss,L2
0,31.28,858.36,819.0
1,34.6,833.94,827.0
2,37.51,819.18,835.0
3,38.43,810.46,843.0
4,41.04,804.11,850.0
5,42.0,798.75,856.0
6,42.92,793.8,862.0
7,44.85,788.45,868.0
8,45.28,783.36,875.0
9,46.22,778.66,881.0
10,45.9,774.31,888.0
11,48.01,770.29,895.0
12,49.31,766.78,901.0
13,50.24,761.96,908.0
14,51.15,757.52,914.0
15,51.02,753.62,921.0
16,52.53,749.33,927.0
17,53.73,746.02,933.0
18,54.66,742.57,939.0
19,55.34,738.35,945.0
20,54.83,735.92,951.0
21,55.1,732.96,957.0
22,56.25,729.27,963.0
23,55.67,726.17,968.0
24,58.24,722.79,974.0
25,57.66,719.02,979.0
26,58.2,717.05,985.0
27,58.93,714.09,990.0
28,59.39,712.2,996.0
29,59.1,708.61,1001.0
30,60.57,706.84,1006.0
31,60.22,703.45,1011.0
32,60.35,701.52,1017.0
33,61.41,698.85,1022.0
34,61.6,697.26,1027.0
35,61.12,695.12,1032.0
36,62.15,691.3,1037.0
37,62.84,689.3,1042.0
38,62.56,686.89,1047.0
39,63.19,685.29,1052.0
