epoch,training_acc,training_loss,L2
0,38.49,846.04,863.0
1,43.16,799.69,913.0
2,47.68,780.67,955.0
3,51.18,766.68,993.0
4,54.35,753.99,1028.0
5,56.41,742.93,1060.0
6,55.25,734.54,1092.0
7,59.11,726.34,1123.0
8,58.64,718.02,1156.0
9,61.72,709.47,1186.0
10,59.9,702.86,1217.0
11,62.5,696.31,1248.0
12,64.18,689.02,1279.0
13,64.51,683.18,1308.0
14,65.02,678.06,1339.0
15,65.89,671.54,1369.0
16,66.53,666.43,1399.0
17,66.6,660.3,1427.0
18,66.77,656.02,1455.0
19,67.3,651.0,1482.0
20,67.6,646.35,1509.0
21,67.87,642.82,1535.0
22,68.06,639.88,1560.0
23,68.51,636.34,1586.0
24,68.36,632.92,1610.0
25,68.85,630.13,1633.0
26,68.88,627.42,1656.0
27,68.81,625.7,1679.0
28,68.91,624.67,1702.0
29,69.69,621.53,1721.0
30,69.11,620.58,1741.0
31,68.45,618.98,1761.0
32,69.36,618.68,1783.0
33,69.41,616.46,1802.0
34,67.87,616.18,1822.0
35,69.67,614.98,1842.0
36,69.35,614.78,1865.0
37,69.21,613.01,1882.0
38,68.52,612.33,1900.0
39,69.06,611.94,1919.0
