epoch,training_acc,training_loss
0,41.23,833.38
1,45.08,795.63
2,44.52,777.16
3,52.24,763.16
4,51.89,752.89
5,56.08,744.03
6,56.3,735.37
7,56.65,726.81
8,58.21,719.9
9,61.18,712.14
10,60.7,705.59
11,61.55,698.86
12,63.7,691.37
13,64.52,686.44
14,62.45,680.36
15,64.17,675.0
16,66.64,669.11
17,67.29,664.19
18,67.18,658.83
19,67.29,653.89
20,67.08,649.74
21,67.59,644.98
22,68.7,640.36
23,68.77,637.64
24,67.58,633.78
25,67.93,631.27
26,66.04,627.54
27,68.65,625.49
28,67.4,622.92
29,68.97,621.15
30,69.28,619.15
31,69.84,617.75
32,70.37,616.02
33,69.72,614.84
34,69.48,613.75
35,71.29,612.92
36,70.11,611.84
37,71.03,610.6
38,70.33,609.73
39,70.93,608.66
