epoch,training_acc,training_loss
0,37.72,844.16
1,41.7,806.85
2,44.92,789.93
3,47.71,776.43
4,51.72,764.42
5,53.08,753.58
6,54.1,745.68
7,54.24,737.14
8,57.28,729.7
9,58.38,721.53
10,58.2,715.45
11,60.1,709.1
12,61.42,701.87
13,61.14,696.03
14,60.92,690.89
15,64.34,684.78
16,62.49,679.81
17,64.35,674.2
18,65.02,668.87
19,64.58,664.51
20,65.75,659.69
21,66.21,655.13
22,66.29,651.06
23,63.73,647.17
24,65.87,643.54
25,66.41,640.63
26,66.91,637.77
27,66.54,634.84
28,66.77,632.81
29,67.72,630.26
30,66.63,628.63
31,67.36,626.71
32,66.53,625.32
33,68.67,623.07
34,68.14,621.95
35,68.44,620.96
36,67.67,619.69
37,67.51,617.83
38,67.52,616.84
39,67.99,616.35
