epoch,training_acc,training_loss
0,39.09,841.24
1,43.4,799.22
2,46.8,781.8
3,49.87,768.58
4,52.03,757.91
5,53.42,747.8
6,55.76,738.44
7,57.54,729.63
8,58.31,721.73
9,59.51,714.04
10,60.71,706.37
11,59.04,699.64
12,57.63,692.99
13,62.84,686.4
14,63.17,680.69
15,64.77,674.33
16,64.33,669.47
17,64.54,663.74
18,66.58,658.31
19,67.32,653.38
20,67.42,648.43
21,67.39,644.41
22,67.05,640.12
23,67.58,637.26
24,67.71,633.7
25,67.75,630.88
26,68.35,627.99
27,68.32,626.06
28,67.76,623.83
29,68.93,622.05
30,69.18,620.44
31,68.05,619.31
32,69.3,616.8
33,68.69,615.29
34,69.5,614.58
35,68.19,613.1
36,69.43,612.76
37,67.94,611.37
38,69.24,611.21
39,69.14,609.35
