epoch,training_acc,training_loss
0,96.0,760.86
1,97.36,700.98
2,98.2,696.17
3,98.48,693.65
4,98.29,692.15
5,98.09,691.34
6,98.53,690.27
7,98.99,690.11
8,98.8,689.56
9,98.91,688.96
10,99.09,688.95
11,99.23,688.74
12,99.21,688.73
13,99.33,688.18
14,99.22,688.25
15,99.26,688.41
16,99.45,687.98
17,99.42,687.98
18,99.08,687.87
19,99.29,688.09
20,99.33,687.5
21,98.99,687.36
22,99.35,687.58
23,99.25,687.37
24,99.28,687.33
25,99.29,687.46
26,99.16,687.18
27,99.35,687.34
28,99.2,687.22
29,98.72,687.42
30,99.41,687.39
31,99.13,687.24
32,98.95,687.3
33,99.34,686.91
34,99.27,686.88
35,99.37,687.13
36,99.33,686.93
37,99.05,687.18
38,99.33,686.97
39,99.51,687.02
