epoch,training_acc,training_loss
0,95.63,766.6
1,97.74,701.71
2,97.75,696.12
3,98.48,693.54
4,98.52,692.41
5,98.91,691.54
6,98.99,690.62
7,98.74,690.21
8,99.14,689.84
9,99.2,689.25
10,99.09,689.19
11,99.07,688.81
12,99.08,688.92
13,99.08,688.32
14,99.09,688.16
15,99.23,688.23
16,98.68,688.35
17,99.3,688.33
18,99.38,687.99
19,99.26,687.57
20,99.3,687.48
21,99.55,687.25
22,98.95,687.43
23,99.25,687.5
24,98.66,687.78
25,99.26,687.44
26,99.28,687.03
27,99.12,687.45
28,99.43,687.18
29,99.42,687.23
30,99.37,686.98
31,99.24,686.99
32,99.08,687.42
33,99.33,687.22
34,99.4,687.06
35,98.81,687.08
36,99.36,687.26
37,99.44,687.12
38,99.42,686.98
39,99.52,686.78
