epoch,training_acc,training_loss
0,95.9,764.11
1,97.65,701.39
2,97.99,696.08
3,97.84,694.1
4,98.36,692.95
5,99.02,691.73
6,99.03,690.83
7,98.54,689.96
8,98.93,690.16
9,99.23,689.69
10,99.18,689.29
11,99.18,688.84
12,99.05,688.82
13,99.16,688.55
14,99.02,688.29
15,98.97,688.57
16,99.34,687.99
17,98.55,688.0
18,98.98,687.67
19,99.33,687.59
20,99.13,688.18
21,99.34,687.6
22,99.1,687.88
23,98.92,687.47
24,99.3,687.35
25,99.18,687.71
26,99.39,687.2
27,99.16,686.89
28,99.32,687.28
29,99.24,687.0
30,99.34,686.84
31,99.43,686.87
32,99.37,687.14
33,98.56,686.79
34,99.53,686.92
35,99.42,687.12
36,99.41,687.06
37,99.45,686.9
38,99.34,686.62
39,99.31,686.87
