epoch,training_acc,training_loss
0,96.27,753.52
1,97.48,701.49
2,98.18,696.24
3,98.37,693.33
4,98.74,691.97
5,99.15,690.93
6,98.76,690.3
7,99.22,690.12
8,97.6,689.23
9,99.37,689.19
10,99.21,688.65
11,99.26,688.93
12,99.37,688.49
13,99.37,688.3
14,99.44,688.15
15,99.25,687.95
16,98.88,687.97
17,99.55,687.56
18,98.61,687.47
19,99.15,687.73
20,99.4,687.78
21,99.33,687.53
22,99.29,687.39
23,99.43,687.28
24,99.44,687.49
25,99.21,687.34
26,99.4,687.44
27,99.41,687.27
28,99.41,687.27
29,98.65,687.18
30,99.27,687.35
31,99.27,687.37
32,99.12,687.42
33,98.96,687.32
34,99.36,686.86
35,99.34,687.26
36,99.25,686.94
37,99.28,687.2
38,99.25,687.08
39,99.45,686.99
