epoch,training_acc,training_loss
0,85.08,848.02
1,97.56,718.47
2,97.77,695.5
3,98.43,693.35
4,98.42,691.82
5,98.91,690.79
6,99.18,690.4
7,99.17,689.6
8,99.19,689.16
9,99.18,688.68
10,99.24,688.44
11,99.32,688.21
12,99.44,688.08
13,99.38,688.26
14,99.22,687.91
15,99.49,687.55
16,99.25,687.59
17,99.33,687.45
18,99.18,687.51
19,99.01,687.31
20,99.38,687.71
21,99.4,687.31
22,99.46,687.38
23,99.4,687.25
24,99.19,687.22
25,99.42,687.21
26,99.34,687.14
27,99.43,687.05
28,99.49,687.05
29,99.28,686.95
30,99.32,687.01
31,99.37,686.97
32,99.43,686.95
33,99.4,687.05
34,99.45,687.14
35,99.51,686.83
36,99.3,687.08
37,99.54,686.97
38,99.31,687.05
39,99.11,687.17
