epoch,training_acc,training_loss
0,91.56,745.97
1,97.19,698.54
2,98.38,694.51
3,98.9,692.35
4,99.0,691.39
5,98.8,690.51
6,99.08,690.16
7,99.17,689.62
8,99.26,689.26
9,99.24,688.77
10,99.27,688.56
11,99.41,688.28
12,98.84,688.28
13,99.17,687.98
14,99.26,687.85
15,99.41,687.87
16,99.32,687.53
17,99.42,687.88
18,99.34,687.41
19,99.37,687.39
20,99.36,687.42
21,99.12,687.47
22,99.35,687.5
23,99.29,687.23
24,99.35,687.18
25,99.36,687.41
26,99.24,687.1
27,99.46,686.98
28,99.38,687.12
29,99.27,687.0
30,99.37,687.11
31,99.19,687.19
32,99.2,687.11
33,99.25,687.09
34,99.43,687.0
35,99.43,686.92
36,98.57,687.09
37,99.44,687.11
38,99.25,687.04
39,99.46,687.22
