epoch,training_acc,training_loss,L2
0,76.99,837.44,849.0
1,82.48,776.76,876.0
2,84.21,760.94,900.0
3,86.18,753.06,921.0
4,86.52,747.68,941.0
5,87.45,743.12,960.0
6,87.72,740.39,980.0
7,88.26,736.57,998.0
8,89.15,733.93,1017.0
9,88.78,731.43,1037.0
10,89.72,729.74,1057.0
11,89.34,727.69,1078.0
12,90.28,726.41,1098.0
13,89.62,725.66,1119.0
14,90.31,723.74,1140.0
15,90.86,722.88,1162.0
16,91.03,721.78,1184.0
17,90.89,720.46,1205.0
18,90.86,718.58,1227.0
19,91.14,718.2,1249.0
20,90.75,717.36,1272.0
21,91.06,716.0,1294.0
22,91.48,715.3,1317.0
23,90.99,714.62,1340.0
24,91.63,713.75,1365.0
25,91.47,712.97,1388.0
26,91.16,712.6,1413.0
27,91.89,711.59,1435.0
28,92.1,710.45,1457.0
29,91.04,710.19,1482.0
30,91.75,709.72,1504.0
31,91.66,709.15,1526.0
32,91.25,708.55,1550.0
33,91.76,708.93,1571.0
34,91.99,707.37,1594.0
35,91.75,707.53,1618.0
36,91.86,706.91,1642.0
37,91.85,706.09,1665.0
38,91.94,705.22,1686.0
39,91.42,705.72,1708.0
