epoch,training_acc,training_loss,L2
0,75.13,849.8,847.0
1,81.96,781.02,880.0
2,83.57,763.29,906.0
3,84.62,756.23,930.0
4,85.86,749.81,951.0
5,84.9,746.0,972.0
6,87.59,743.38,992.0
7,86.66,740.63,1013.0
8,87.52,737.33,1035.0
9,88.87,735.15,1056.0
10,88.89,733.01,1077.0
11,87.7,731.21,1098.0
12,89.58,729.0,1120.0
13,88.99,728.15,1142.0
14,89.16,726.75,1165.0
15,89.85,725.02,1188.0
16,90.09,724.8,1210.0
17,89.66,723.2,1234.0
18,90.22,722.25,1257.0
19,90.71,720.93,1280.0
20,90.4,720.41,1303.0
21,90.59,719.08,1326.0
22,90.49,718.53,1352.0
23,90.4,718.13,1376.0
24,91.33,716.35,1399.0
25,90.9,715.23,1423.0
26,90.63,715.06,1447.0
27,91.22,714.7,1474.0
28,90.84,713.8,1496.0
29,91.41,712.44,1520.0
30,91.68,712.2,1543.0
31,91.48,711.24,1567.0
32,91.51,710.31,1591.0
33,91.85,709.96,1614.0
34,91.42,710.25,1640.0
35,91.66,708.86,1664.0
36,91.69,707.76,1687.0
37,91.78,708.39,1712.0
38,91.8,707.49,1738.0
39,91.57,706.22,1760.0
