epoch,training_acc,training_loss
0,68.68,826.81
1,74.26,746.73
2,83.21,730.3
3,84.71,714.36
4,92.62,705.29
5,92.33,696.69
6,92.5,694.78
7,93.74,694.04
8,93.01,692.62
9,93.71,692.21
10,93.6,691.83
11,94.9,691.25
12,94.86,690.88
13,94.76,690.28
14,94.2,689.93
15,95.28,689.62
16,95.14,689.66
17,95.64,688.85
18,96.03,689.0
19,95.63,689.17
20,95.63,688.11
21,95.39,688.36
22,95.22,688.38
23,95.71,688.12
24,95.36,688.23
25,95.63,689.0
26,96.09,687.7
27,96.0,687.9
28,95.79,687.42
29,95.3,687.48
30,95.45,687.8
31,96.07,687.73
32,95.92,687.13
33,94.7,687.79
34,95.53,687.42
35,95.59,687.17
36,95.5,687.69
37,95.21,687.61
38,95.69,687.2
39,95.65,687.52
