epoch,training_acc,training_loss,L2
0,66.65,870.85,860.0
1,75.74,756.55,895.0
2,82.74,730.76,923.0
3,85.46,715.97,948.0
4,85.79,711.71,968.0
5,86.49,710.09,987.0
6,91.93,701.85,1008.0
7,93.31,695.54,1030.0
8,94.28,694.0,1050.0
9,92.44,693.08,1070.0
10,94.65,692.44,1089.0
11,94.33,692.57,1108.0
12,94.59,691.64,1127.0
13,95.15,691.39,1150.0
14,95.18,689.55,1165.0
15,95.24,689.66,1184.0
16,95.51,689.31,1201.0
17,94.61,688.92,1220.0
18,95.78,688.96,1240.0
19,95.98,688.61,1261.0
20,95.98,688.32,1275.0
21,96.21,688.15,1294.0
22,96.01,688.24,1310.0
23,94.98,688.26,1329.0
24,96.12,688.41,1349.0
25,95.55,688.41,1370.0
26,95.93,687.87,1384.0
27,96.26,687.63,1397.0
28,95.96,687.96,1415.0
29,95.85,687.54,1430.0
30,95.62,687.95,1447.0
31,95.89,688.44,1470.0
32,96.09,687.49,1481.0
33,95.96,687.5,1495.0
34,96.08,687.69,1511.0
35,95.98,687.48,1525.0
36,95.44,687.59,1541.0
37,95.8,687.99,1558.0
38,95.66,688.36,1581.0
39,94.89,687.6,1597.0
