epoch,training_acc,training_loss,L2
0,63.49,860.52,855.0
1,76.82,755.97,890.0
2,80.69,730.68,914.0
3,84.75,716.04,936.0
4,89.79,710.05,956.0
5,91.88,698.39,978.0
6,93.21,696.42,998.0
7,93.14,694.57,1016.0
8,93.91,693.36,1034.0
9,94.44,692.66,1051.0
10,94.2,691.98,1071.0
11,94.72,691.1,1089.0
12,94.85,690.18,1105.0
13,94.92,690.33,1122.0
14,94.91,690.2,1141.0
15,93.73,690.22,1163.0
16,94.54,689.75,1179.0
17,95.31,689.41,1196.0
18,95.01,688.87,1209.0
19,94.7,688.75,1225.0
20,94.66,689.21,1250.0
21,95.46,688.53,1265.0
22,95.71,688.36,1280.0
23,95.55,688.39,1298.0
24,95.91,688.1,1311.0
25,95.04,687.98,1327.0
26,95.84,688.4,1348.0
27,96.21,687.65,1361.0
28,95.63,687.55,1375.0
29,95.53,688.01,1394.0
30,95.5,687.7,1408.0
31,95.55,687.62,1426.0
32,94.98,687.85,1448.0
33,96.04,687.53,1463.0
34,95.64,688.09,1481.0
35,95.5,687.83,1496.0
36,95.78,687.29,1507.0
37,94.61,687.45,1523.0
38,95.81,688.15,1545.0
39,95.57,687.57,1559.0
