epoch,training_acc,training_loss,L2
0,68.77,817.04,856.0
1,80.55,745.62,888.0
2,83.13,723.98,912.0
3,84.8,717.33,931.0
4,85.41,715.13,948.0
5,92.32,704.52,970.0
6,93.18,696.07,990.0
7,93.67,694.89,1011.0
8,94.15,693.32,1029.0
9,93.04,692.71,1045.0
10,94.34,692.28,1063.0
11,94.58,691.85,1081.0
12,94.07,691.27,1097.0
13,94.27,691.29,1116.0
14,94.1,691.01,1134.0
15,94.45,690.85,1154.0
16,93.95,690.62,1170.0
17,94.5,690.27,1185.0
18,94.66,689.86,1199.0
19,94.46,690.13,1215.0
20,94.45,689.81,1230.0
21,94.91,689.6,1250.0
22,95.49,688.68,1267.0
23,95.68,688.5,1283.0
24,95.43,688.26,1299.0
25,94.72,688.46,1317.0
26,95.66,688.31,1334.0
27,95.14,688.27,1349.0
28,95.66,688.03,1364.0
29,95.87,687.84,1380.0
30,95.68,687.65,1396.0
31,95.33,687.72,1412.0
32,95.52,687.24,1422.0
33,95.88,688.3,1443.0
34,95.95,687.74,1460.0
35,95.55,687.62,1476.0
36,96.07,687.63,1494.0
37,95.23,687.41,1507.0
38,95.96,687.14,1519.0
39,95.56,687.51,1537.0
