epoch,training_acc,training_loss
0,72.84,811.96
1,80.43,734.75
2,84.56,720.1
3,91.22,708.97
4,92.47,698.62
5,91.84,696.4
6,93.64,694.45
7,93.7,694.11
8,93.28,693.02
9,94.26,692.11
10,94.92,691.3
11,94.69,690.8
12,95.31,690.17
13,94.89,689.84
14,94.54,689.84
15,95.15,689.71
16,95.14,689.25
17,95.58,689.01
18,95.13,688.92
19,93.58,688.48
20,95.46,688.7
21,95.96,688.35
22,96.05,688.15
23,95.62,687.7
24,95.91,688.04
25,95.39,687.87
26,96.09,687.82
27,95.97,687.91
28,95.46,688.05
29,96.35,687.5
30,96.42,687.22
31,95.76,687.26
32,95.9,688.09
33,95.79,687.73
34,95.91,687.59
35,96.35,687.52
36,96.02,687.74
37,95.74,687.41
38,96.07,687.72
39,96.35,687.55
