epoch,training_acc,training_loss
0,69.23,795.64
1,83.25,732.17
2,84.58,716.9
3,88.56,706.31
4,92.27,697.27
5,91.05,695.65
6,93.17,694.59
7,93.91,693.49
8,92.83,692.9
9,94.79,692.49
10,93.43,691.8
11,94.69,691.34
12,94.52,690.92
13,94.97,690.76
14,94.38,690.68
15,94.68,690.33
16,95.08,690.35
17,94.99,690.08
18,95.09,689.6
19,95.49,689.9
20,95.35,689.47
21,95.14,689.33
22,95.56,689.24
23,95.12,689.31
24,95.54,689.21
25,94.31,689.13
26,95.7,689.53
27,95.7,689.23
28,95.23,689.04
29,95.53,688.94
30,95.75,689.16
31,95.59,688.75
32,95.45,688.98
33,95.91,688.68
34,96.36,687.92
35,95.98,688.17
36,96.15,688.16
37,95.63,687.82
38,96.15,687.88
39,95.84,687.74
