epoch,training_acc,training_loss
0,69.42,801.41
1,81.68,738.52
2,84.44,720.28
3,86.7,712.77
4,91.58,708.75
5,93.41,696.33
6,93.61,694.49
7,92.73,693.79
8,91.74,693.04
9,94.19,692.35
10,94.42,692.14
11,94.93,691.72
12,94.86,690.36
13,95.15,690.11
14,95.41,689.86
15,94.88,689.38
16,95.09,689.3
17,95.35,689.3
18,94.49,688.87
19,96.3,688.62
20,95.85,688.8
21,95.38,688.37
22,95.95,688.76
23,95.73,688.36
24,95.47,688.24
25,95.57,688.08
26,95.78,688.19
27,96.0,688.47
28,96.04,687.87
29,95.46,688.02
30,96.26,687.62
31,96.19,687.69
32,96.44,687.59
33,96.06,687.68
34,95.85,687.59
35,96.25,687.57
36,96.64,687.28
37,95.56,687.56
38,95.55,687.47
39,96.37,687.28
