epoch,training_acc,training_loss
0,72.0,791.41
1,81.66,729.25
2,91.13,714.85
3,92.78,699.7
4,93.48,696.47
5,93.79,695.21
6,94.29,693.79
7,94.33,692.87
8,94.22,692.55
9,94.69,692.02
10,94.29,691.64
11,94.06,691.05
12,94.45,690.58
13,95.01,689.97
14,95.15,689.67
15,95.31,689.56
16,95.89,688.96
17,95.75,688.64
18,96.11,688.7
19,96.11,688.45
20,95.92,688.21
21,96.23,688.04
22,96.03,687.82
23,94.91,687.84
24,96.21,687.74
25,95.88,687.78
26,95.88,687.73
27,96.04,687.57
28,96.1,687.89
29,96.5,687.83
30,96.17,687.42
31,95.71,687.66
32,96.38,687.23
33,96.17,687.51
34,96.26,687.3
35,96.08,687.56
36,95.75,687.23
37,96.08,687.44
38,95.74,687.28
39,96.04,687.67
