epoch,training_acc,training_loss,L2
0,3.74,1796.1,857.0
1,5.11,1789.34,872.0
2,5.63,1786.13,886.0
3,6.0,1783.65,898.0
4,6.34,1781.71,907.0
5,6.66,1779.99,919.0
6,6.91,1778.16,929.0
7,7.48,1776.73,939.0
8,7.8,1774.91,949.0
9,8.24,1773.92,958.0
10,8.51,1771.73,967.0
11,8.07,1770.85,978.0
12,8.57,1769.82,987.0
13,8.98,1768.55,997.0
14,9.28,1766.62,1007.0
15,9.37,1765.23,1017.0
16,9.71,1763.67,1027.0
17,10.4,1762.18,1036.0
18,10.33,1760.8,1045.0
19,10.23,1759.56,1054.0
20,10.61,1758.86,1064.0
21,10.82,1757.99,1072.0
22,10.98,1756.67,1081.0
23,10.91,1755.74,1090.0
24,10.98,1754.61,1098.0
25,11.17,1753.47,1107.0
26,11.34,1752.5,1116.0
27,11.54,1751.09,1124.0
28,11.39,1749.79,1133.0
29,11.75,1748.34,1142.0
30,11.65,1747.6,1150.0
31,11.49,1746.95,1159.0
32,11.6,1745.87,1168.0
33,11.48,1744.83,1176.0
34,11.88,1744.05,1185.0
35,12.01,1743.08,1193.0
36,11.75,1742.31,1201.0
37,12.08,1740.92,1209.0
38,11.96,1740.2,1216.0
39,11.92,1739.35,1224.0
40,12.09,1738.18,1232.0
41,11.78,1738.45,1241.0
42,12.21,1737.17,1249.0
43,12.19,1736.33,1257.0
44,12.29,1735.97,1265.0
45,12.52,1735.42,1272.0
46,12.28,1734.13,1280.0
47,12.48,1733.44,1287.0
48,12.45,1733.07,1294.0
49,12.38,1732.69,1302.0
50,12.45,1731.61,1309.0
51,12.56,1731.14,1317.0
52,12.64,1729.51,1323.0
53,12.44,1729.04,1330.0
54,12.17,1729.0,1337.0
55,12.38,1728.33,1345.0
56,12.68,1727.81,1352.0
57,12.73,1727.56,1358.0
58,12.87,1726.26,1365.0
59,12.77,1725.85,1372.0
60,12.66,1725.01,1379.0
61,12.6,1724.62,1385.0
62,12.76,1724.3,1393.0
63,12.9,1723.1,1399.0
64,12.61,1722.94,1406.0
65,12.35,1723.32,1414.0
66,12.85,1722.48,1421.0
67,13.09,1721.45,1427.0
68,13.12,1720.79,1434.0
69,12.82,1720.07,1440.0
70,13.25,1719.52,1446.0
71,13.42,1719.21,1453.0
72,12.94,1718.48,1459.0
73,12.76,1717.71,1465.0
74,13.19,1717.99,1472.0
75,13.19,1716.94,1479.0
76,13.21,1717.36,1486.0
77,13.29,1716.89,1493.0
78,13.44,1715.55,1499.0
79,13.21,1715.38,1506.0
80,13.32,1714.64,1511.0
81,13.31,1715.07,1519.0
82,13.63,1714.04,1524.0
83,13.06,1713.41,1530.0
84,13.06,1713.28,1536.0
85,13.42,1712.85,1541.0
86,13.18,1712.97,1548.0
87,13.11,1712.24,1553.0
88,13.51,1713.04,1561.0
89,13.24,1711.44,1566.0
90,13.47,1711.61,1572.0
91,13.75,1711.24,1578.0
92,13.32,1710.57,1584.0
93,13.21,1710.7,1591.0
94,13.29,1709.86,1596.0
95,13.49,1710.06,1603.0
96,13.34,1709.44,1608.0
97,13.48,1708.9,1614.0
98,13.23,1709.04,1620.0
99,13.55,1708.8,1627.0
