epoch,training_acc,training_loss,L2
0,4.13,1793.97,858.0
1,5.25,1787.31,870.0
2,5.92,1783.71,880.0
3,7.09,1780.27,889.0
4,7.75,1778.57,897.0
5,8.01,1776.23,905.0
6,8.93,1773.43,913.0
7,9.96,1771.81,920.0
8,9.52,1769.6,928.0
9,10.25,1767.94,935.0
10,10.39,1766.63,942.0
11,10.04,1765.39,949.0
12,11.28,1764.17,955.0
13,11.68,1762.53,963.0
14,11.1,1761.45,969.0
15,11.87,1760.19,976.0
16,11.84,1758.95,983.0
17,11.94,1757.85,990.0
18,12.02,1757.33,997.0
19,12.87,1756.0,1003.0
20,12.48,1755.07,1010.0
21,12.95,1753.95,1017.0
22,13.13,1753.25,1024.0
23,12.3,1752.23,1030.0
24,13.34,1751.3,1037.0
25,13.02,1750.3,1044.0
26,13.27,1749.42,1051.0
27,13.42,1748.23,1058.0
28,13.26,1747.62,1065.0
29,13.42,1746.51,1072.0
30,13.78,1745.11,1079.0
31,13.38,1744.71,1087.0
32,13.81,1743.45,1093.0
33,13.54,1742.48,1100.0
34,12.99,1741.48,1107.0
35,14.3,1740.32,1114.0
36,14.4,1739.55,1121.0
37,14.39,1738.63,1128.0
38,13.86,1737.38,1135.0
39,14.15,1736.99,1142.0
40,14.18,1735.49,1149.0
41,14.76,1734.67,1156.0
42,14.57,1733.89,1164.0
43,14.53,1733.06,1170.0
44,14.63,1732.29,1178.0
45,14.88,1730.83,1184.0
46,14.9,1730.13,1191.0
47,15.33,1729.62,1198.0
48,15.63,1728.51,1204.0
49,15.38,1728.1,1211.0
50,15.05,1727.08,1218.0
51,15.55,1726.81,1224.0
52,15.27,1726.02,1231.0
53,15.76,1724.61,1238.0
54,15.61,1724.15,1244.0
55,15.58,1723.51,1251.0
56,15.45,1722.85,1257.0
57,15.75,1722.27,1264.0
58,15.74,1721.72,1270.0
59,15.88,1721.18,1276.0
60,14.99,1720.28,1283.0
61,15.79,1719.87,1289.0
62,15.86,1718.92,1296.0
63,15.63,1718.31,1302.0
64,15.9,1718.41,1308.0
65,16.15,1717.36,1314.0
66,15.68,1716.79,1320.0
67,15.97,1716.47,1326.0
68,16.09,1716.17,1332.0
69,15.82,1715.51,1338.0
70,16.46,1715.06,1344.0
71,16.41,1714.76,1349.0
72,16.16,1714.29,1355.0
73,16.24,1713.96,1361.0
74,16.26,1713.25,1367.0
75,16.27,1712.82,1372.0
76,16.41,1712.44,1378.0
77,16.2,1712.18,1384.0
78,16.53,1711.52,1389.0
79,16.25,1711.12,1395.0
80,16.46,1711.03,1400.0
81,16.54,1710.73,1406.0
82,16.44,1710.3,1411.0
83,16.57,1709.65,1416.0
84,16.52,1709.32,1422.0
85,16.59,1709.28,1427.0
86,15.76,1708.66,1433.0
87,16.15,1708.56,1438.0
88,16.42,1707.99,1443.0
89,16.36,1707.7,1448.0
90,16.31,1707.17,1453.0
91,16.23,1707.06,1458.0
92,16.65,1707.08,1464.0
93,16.63,1706.06,1469.0
94,16.7,1706.05,1474.0
95,16.7,1705.8,1479.0
96,16.76,1705.39,1484.0
97,16.85,1705.51,1489.0
98,16.78,1704.9,1494.0
99,16.89,1704.85,1499.0
