epoch,training_acc,training_loss,L2
0,4.54,1795.49,856.0
1,5.43,1789.8,868.0
2,5.89,1786.62,879.0
3,6.9,1784.6,888.0
4,7.65,1783.1,897.0
5,7.73,1781.22,906.0
6,8.58,1779.66,916.0
7,7.76,1778.14,925.0
8,9.24,1776.53,934.0
9,9.7,1774.94,943.0
10,9.76,1773.82,951.0
11,9.83,1772.39,960.0
12,10.67,1771.26,969.0
13,11.07,1770.09,977.0
14,10.65,1769.12,985.0
15,11.17,1767.87,993.0
16,10.92,1766.7,1001.0
17,11.22,1765.73,1009.0
18,11.67,1764.64,1017.0
19,11.53,1763.56,1025.0
20,11.95,1762.69,1033.0
21,12.4,1761.61,1041.0
22,11.74,1760.92,1049.0
23,12.47,1760.22,1056.0
24,11.76,1759.16,1064.0
25,12.14,1757.72,1072.0
26,13.0,1756.8,1080.0
27,12.44,1756.0,1088.0
28,13.16,1754.98,1096.0
29,13.28,1753.89,1103.0
30,13.09,1752.61,1112.0
31,12.07,1751.45,1120.0
32,13.56,1750.95,1127.0
33,13.14,1749.97,1135.0
34,12.88,1749.24,1142.0
35,13.44,1748.56,1150.0
36,13.7,1747.69,1157.0
37,13.86,1746.86,1165.0
38,13.56,1745.41,1173.0
39,13.87,1744.56,1180.0
40,14.11,1744.49,1188.0
41,13.94,1743.48,1195.0
42,14.28,1742.58,1202.0
43,14.32,1742.25,1209.0
44,13.91,1741.29,1216.0
45,14.29,1740.99,1223.0
46,14.37,1740.24,1230.0
47,14.38,1739.88,1236.0
48,13.78,1739.02,1243.0
49,14.61,1738.73,1250.0
50,13.95,1738.32,1256.0
51,14.6,1737.94,1263.0
52,14.59,1737.46,1269.0
53,14.7,1736.66,1276.0
54,14.7,1736.53,1282.0
55,14.96,1735.97,1288.0
56,14.58,1735.65,1295.0
57,15.01,1735.14,1301.0
58,14.38,1734.56,1307.0
59,14.73,1734.39,1314.0
60,15.04,1733.88,1320.0
61,14.35,1733.51,1326.0
62,14.78,1733.2,1332.0
63,14.63,1733.11,1338.0
64,14.97,1732.25,1343.0
65,14.19,1732.12,1349.0
66,14.48,1731.99,1355.0
67,14.04,1731.53,1361.0
68,14.63,1731.24,1367.0
69,14.47,1730.72,1372.0
70,14.77,1730.65,1378.0
71,14.8,1730.05,1384.0
72,15.18,1730.26,1390.0
73,15.02,1729.44,1395.0
74,14.95,1729.55,1401.0
75,15.29,1729.14,1406.0
76,15.09,1728.69,1412.0
77,15.08,1728.59,1417.0
78,15.15,1728.32,1423.0
79,14.85,1727.93,1428.0
80,15.09,1728.1,1434.0
81,14.93,1727.67,1439.0
82,15.15,1727.38,1445.0
83,15.01,1727.23,1450.0
84,14.38,1726.92,1456.0
85,15.28,1726.51,1461.0
86,15.25,1726.37,1466.0
87,15.43,1726.1,1471.0
88,15.2,1725.79,1476.0
89,14.49,1725.89,1481.0
90,15.36,1725.65,1486.0
91,15.18,1725.36,1491.0
92,15.33,1724.96,1496.0
93,15.46,1724.58,1501.0
94,15.54,1724.57,1506.0
95,15.37,1724.48,1512.0
96,14.91,1724.34,1516.0
97,15.24,1723.93,1521.0
98,15.57,1723.88,1526.0
99,15.48,1723.76,1531.0
