epoch,training_acc,training_loss,L2
0,4.47,1793.28,861.0
1,5.83,1784.33,874.0
2,6.96,1779.99,885.0
3,7.87,1777.18,894.0
4,8.35,1774.87,903.0
5,8.57,1772.66,913.0
6,8.51,1770.27,922.0
7,7.93,1768.7,930.0
8,8.77,1766.88,939.0
9,10.5,1765.02,947.0
10,11.04,1762.72,956.0
11,10.1,1760.9,964.0
12,11.14,1759.52,972.0
13,11.77,1757.39,980.0
14,12.01,1755.77,988.0
15,12.32,1753.9,997.0
16,12.07,1752.18,1005.0
17,12.37,1750.41,1013.0
18,12.69,1749.03,1021.0
19,13.34,1747.51,1029.0
20,13.1,1745.63,1037.0
21,13.64,1744.37,1045.0
22,14.12,1741.93,1053.0
23,13.8,1740.57,1061.0
24,14.46,1738.53,1069.0
25,13.95,1737.26,1077.0
26,14.85,1735.64,1085.0
27,14.67,1733.88,1093.0
28,15.1,1732.6,1101.0
29,14.32,1731.05,1109.0
30,15.16,1730.06,1117.0
31,14.87,1728.06,1125.0
32,15.35,1726.6,1132.0
33,15.19,1725.04,1140.0
34,15.62,1723.19,1148.0
35,15.73,1722.38,1155.0
36,15.59,1721.02,1163.0
37,15.65,1719.57,1171.0
38,15.89,1718.65,1178.0
39,15.36,1717.72,1186.0
40,15.65,1715.89,1193.0
41,16.04,1714.47,1200.0
42,15.81,1713.75,1208.0
43,15.57,1712.55,1215.0
44,15.95,1711.65,1222.0
45,16.21,1710.38,1230.0
46,16.21,1709.66,1237.0
47,15.67,1708.55,1244.0
48,15.96,1707.65,1251.0
49,16.25,1706.82,1258.0
50,16.29,1705.97,1265.0
51,16.15,1704.86,1271.0
52,16.3,1704.61,1279.0
53,16.59,1703.14,1285.0
54,16.62,1702.75,1292.0
55,16.4,1701.63,1299.0
56,16.76,1701.03,1305.0
57,16.91,1699.81,1312.0
58,16.67,1698.88,1319.0
59,17.07,1698.95,1325.0
60,16.74,1697.39,1331.0
61,17.05,1697.33,1337.0
62,16.86,1696.54,1344.0
63,17.03,1695.88,1350.0
64,16.49,1695.04,1356.0
65,16.65,1694.66,1363.0
66,16.74,1694.08,1369.0
67,16.93,1693.52,1375.0
68,16.74,1692.51,1381.0
69,16.23,1692.3,1387.0
70,16.89,1691.59,1393.0
71,17.4,1691.06,1399.0
72,17.16,1690.88,1406.0
73,17.38,1690.07,1411.0
74,17.09,1689.79,1417.0
75,17.01,1689.43,1423.0
76,17.16,1688.65,1429.0
77,16.82,1687.9,1434.0
78,17.23,1687.6,1440.0
79,17.12,1687.59,1446.0
80,17.54,1686.77,1451.0
81,17.05,1686.16,1457.0
82,17.39,1685.69,1463.0
83,17.5,1685.51,1469.0
84,17.52,1684.83,1474.0
85,17.48,1684.82,1480.0
86,17.16,1684.51,1485.0
87,17.44,1683.95,1490.0
88,17.08,1683.7,1496.0
89,17.4,1682.88,1502.0
90,17.55,1683.03,1507.0
91,17.51,1681.95,1512.0
92,17.01,1682.22,1517.0
93,17.29,1681.65,1523.0
94,17.41,1681.29,1528.0
95,17.62,1680.57,1533.0
96,17.11,1680.9,1538.0
97,17.18,1680.37,1544.0
98,17.33,1679.48,1549.0
99,17.44,1679.78,1554.0
