epoch,training_acc,training_loss,L2
0,2.85,1795.85,897.0
1,7.6,1785.77,929.0
2,7.07,1778.36,959.0
3,9.63,1772.69,986.0
4,11.61,1768.72,1012.0
5,10.64,1764.73,1037.0
6,11.6,1762.2,1061.0
7,13.12,1758.69,1085.0
8,13.96,1756.11,1107.0
9,14.3,1753.35,1131.0
10,13.94,1750.35,1154.0
11,15.11,1749.31,1177.0
12,15.16,1745.59,1200.0
13,15.54,1744.47,1222.0
14,16.35,1741.62,1245.0
15,16.18,1739.2,1267.0
16,17.14,1737.06,1291.0
17,16.86,1735.73,1313.0
18,16.81,1733.36,1336.0
19,18.15,1731.8,1358.0
20,18.47,1729.38,1380.0
21,18.35,1728.03,1402.0
22,17.84,1725.76,1424.0
23,18.78,1723.9,1446.0
24,18.7,1722.61,1467.0
25,19.33,1719.64,1489.0
26,18.22,1718.83,1511.0
27,19.57,1717.1,1531.0
28,19.35,1715.29,1552.0
29,19.24,1712.68,1574.0
30,20.04,1711.64,1596.0
31,19.59,1709.06,1617.0
32,20.51,1707.66,1637.0
33,20.6,1704.96,1658.0
34,20.37,1703.88,1679.0
35,21.09,1701.72,1700.0
36,20.77,1699.68,1721.0
37,21.13,1699.31,1742.0
38,21.72,1697.4,1762.0
39,21.83,1695.19,1783.0
