epoch,training_acc,training_loss,L2
0,34.47,863.98,848.0
1,39.55,836.47,889.0
2,44.14,819.13,924.0
3,48.74,807.7,955.0
4,51.73,798.4,987.0
5,54.32,789.58,1017.0
6,52.69,783.04,1047.0
7,55.57,775.89,1077.0
8,58.57,769.09,1107.0
9,59.13,762.1,1138.0
10,60.54,756.42,1169.0
11,61.25,750.47,1201.0
12,63.15,745.58,1231.0
13,64.22,739.25,1262.0
14,65.34,734.16,1293.0
15,65.66,729.86,1322.0
16,66.35,724.57,1352.0
17,66.62,720.24,1381.0
18,67.09,716.58,1409.0
19,68.51,712.99,1437.0
20,68.6,709.27,1463.0
21,69.33,706.16,1490.0
22,69.72,702.28,1516.0
23,69.82,699.28,1541.0
24,70.19,696.38,1567.0
25,69.89,693.56,1591.0
26,69.47,691.4,1616.0
27,70.02,689.2,1639.0
28,70.05,686.79,1660.0
29,70.64,685.84,1682.0
30,70.29,684.11,1703.0
31,70.51,682.39,1724.0
32,70.43,681.03,1745.0
33,71.08,679.99,1766.0
34,70.83,679.47,1787.0
35,70.75,678.01,1807.0
36,70.89,676.22,1824.0
37,70.7,675.87,1843.0
38,71.2,675.76,1865.0
39,71.02,675.05,1886.0
40,70.71,673.26,1903.0
41,70.94,673.1,1922.0
42,71.26,673.04,1942.0
43,70.88,672.33,1961.0
44,71.4,672.0,1980.0
45,71.51,671.14,1999.0
46,71.32,670.76,2018.0
47,70.81,670.25,2037.0
48,72.08,669.88,2055.0
49,72.05,669.04,2072.0
50,71.26,668.36,2088.0
51,71.43,668.36,2106.0
52,71.93,668.9,2126.0
53,71.59,668.48,2145.0
54,71.71,667.34,2160.0
55,71.14,667.53,2177.0
56,70.67,667.68,2197.0
57,71.99,666.88,2214.0
58,71.39,665.97,2228.0
59,71.29,666.62,2248.0
60,71.2,666.44,2268.0
61,71.63,665.92,2285.0
62,71.83,665.27,2300.0
63,71.7,665.44,2317.0
64,72.12,665.48,2337.0
65,71.76,664.73,2353.0
66,70.79,664.41,2367.0
67,72.29,664.67,2384.0
68,71.71,665.05,2406.0
69,72.58,664.53,2424.0
70,72.01,663.76,2440.0
71,72.45,663.47,2454.0
72,71.78,663.14,2470.0
73,72.09,663.79,2490.0
74,72.45,663.16,2507.0
75,72.04,662.81,2521.0
76,71.99,663.08,2538.0
77,72.24,662.91,2555.0
78,71.36,662.92,2573.0
79,72.04,662.61,2589.0
80,72.69,662.48,2605.0
81,72.91,662.26,2620.0
82,71.92,661.98,2636.0
83,72.42,661.89,2652.0
84,72.13,661.93,2669.0
85,71.8,661.52,2686.0
86,71.35,662.53,2706.0
87,72.4,661.78,2724.0
88,72.2,661.49,2739.0
89,72.3,660.82,2754.0
90,71.81,660.75,2768.0
91,71.62,661.1,2786.0
92,72.32,660.98,2802.0
93,72.52,660.48,2817.0
94,72.11,660.83,2835.0
95,72.59,660.6,2853.0
96,72.42,659.98,2866.0
97,71.96,659.84,2880.0
98,72.66,659.92,2894.0
99,71.78,660.32,2912.0
