epoch,training_acc,training_loss,L2
0,36.29,849.24,851.0
1,40.7,808.35,891.0
2,46.4,788.96,925.0
3,49.14,776.3,959.0
4,52.29,763.37,991.0
5,53.95,753.12,1022.0
6,54.67,743.67,1051.0
7,57.14,735.22,1080.0
8,58.63,727.36,1109.0
9,59.28,721.0,1138.0
10,61.63,713.24,1167.0
11,62.18,706.57,1196.0
12,62.9,700.82,1226.0
13,63.64,694.84,1256.0
14,62.88,688.29,1285.0
15,64.99,683.15,1313.0
16,64.8,677.3,1342.0
17,66.43,672.49,1372.0
18,66.93,665.88,1399.0
19,67.37,660.88,1425.0
20,67.32,657.31,1453.0
21,67.19,652.17,1479.0
22,67.98,647.93,1504.0
23,67.55,643.74,1529.0
24,68.46,639.99,1553.0
25,68.06,637.06,1577.0
26,68.32,635.21,1601.0
27,68.95,632.49,1624.0
28,69.42,630.02,1646.0
29,68.93,627.44,1667.0
30,68.88,627.01,1689.0
31,68.74,625.23,1711.0
32,68.94,623.93,1733.0
33,68.92,621.58,1752.0
34,69.82,620.86,1772.0
35,69.26,619.01,1790.0
36,69.34,618.09,1809.0
37,68.71,617.72,1830.0
38,69.0,616.44,1849.0
39,69.23,615.41,1867.0
40,69.0,614.88,1887.0
41,69.54,614.04,1906.0
42,69.88,613.92,1926.0
43,69.5,612.39,1944.0
44,70.22,611.59,1962.0
45,70.43,610.3,1979.0
46,69.33,611.25,2000.0
47,70.24,610.91,2021.0
48,69.22,609.69,2040.0
49,70.09,608.86,2058.0
50,69.99,607.93,2075.0
51,68.98,607.8,2092.0
52,70.55,608.17,2111.0
53,70.84,607.01,2129.0
54,70.1,607.14,2147.0
55,69.83,606.03,2164.0
56,69.83,606.72,2184.0
57,70.54,605.36,2201.0
58,71.11,604.73,2218.0
59,71.24,604.86,2236.0
60,70.4,604.18,2253.0
61,70.53,604.12,2271.0
62,70.57,603.82,2289.0
63,69.72,603.1,2306.0
64,71.81,604.16,2327.0
65,70.81,603.23,2344.0
66,70.08,602.0,2359.0
67,70.99,601.81,2374.0
68,69.9,601.79,2390.0
69,70.19,601.39,2406.0
70,71.18,601.52,2423.0
71,70.09,600.74,2439.0
72,69.86,600.49,2455.0
73,71.21,601.16,2476.0
74,70.49,600.62,2495.0
75,70.97,600.05,2511.0
76,70.75,600.35,2529.0
77,71.07,599.5,2544.0
78,70.8,599.75,2562.0
79,71.35,599.5,2578.0
80,70.93,599.21,2597.0
81,71.29,598.69,2612.0
82,70.83,598.6,2628.0
83,70.65,598.82,2645.0
84,69.97,598.53,2662.0
85,71.19,597.98,2677.0
86,71.2,598.04,2694.0
87,71.18,598.21,2711.0
88,71.16,597.71,2727.0
89,70.8,598.13,2745.0
90,71.64,597.46,2761.0
91,71.12,597.28,2777.0
92,71.32,597.13,2793.0
93,71.07,597.07,2808.0
94,71.59,597.14,2823.0
95,71.08,596.8,2838.0
96,71.34,597.19,2856.0
97,70.93,596.57,2871.0
98,71.41,596.56,2888.0
99,70.55,595.99,2903.0
