epoch,training_acc,training_loss,L2
0,72.82,853.48,850.0
1,76.03,803.62,876.0
2,78.2,789.12,902.0
3,84.18,765.27,929.0
4,85.56,750.86,954.0
5,86.04,746.29,977.0
6,87.33,742.39,997.0
7,87.15,739.86,1018.0
8,88.29,736.28,1040.0
9,89.01,733.57,1060.0
10,88.78,732.42,1081.0
11,89.76,730.23,1103.0
12,89.89,728.35,1125.0
13,90.22,727.17,1146.0
14,90.15,725.62,1168.0
15,89.94,724.45,1191.0
16,90.49,723.36,1214.0
17,90.62,722.14,1238.0
18,90.36,721.68,1262.0
19,91.15,720.34,1286.0
20,90.98,719.22,1308.0
21,91.04,719.38,1335.0
22,90.9,717.65,1357.0
23,90.34,717.01,1381.0
24,90.94,716.73,1405.0
25,91.06,715.2,1428.0
26,91.09,714.46,1452.0
27,91.47,713.55,1476.0
28,91.26,713.22,1500.0
29,91.72,711.93,1523.0
30,91.12,712.18,1549.0
31,91.25,711.77,1574.0
32,91.3,710.93,1599.0
33,91.47,710.55,1622.0
34,91.39,709.94,1648.0
35,91.18,709.22,1672.0
36,91.09,708.97,1696.0
37,91.04,709.04,1720.0
38,91.7,707.47,1740.0
39,91.39,706.97,1764.0
