epoch,training_acc,training_loss,L2
0,71.87,849.71,850.0
1,75.1,804.84,879.0
2,77.34,789.21,904.0
3,79.67,781.26,927.0
4,80.36,776.28,947.0
5,80.48,772.92,966.0
6,87.08,754.15,991.0
7,87.67,740.64,1015.0
8,87.94,736.54,1039.0
9,88.5,733.79,1060.0
10,89.26,731.81,1083.0
11,88.83,729.92,1105.0
12,89.49,729.13,1127.0
13,89.43,726.82,1150.0
14,89.44,725.72,1172.0
15,89.58,724.64,1194.0
16,89.8,723.67,1216.0
17,90.72,721.86,1238.0
18,90.62,721.39,1260.0
19,90.51,720.01,1284.0
20,90.53,719.69,1309.0
21,90.81,718.33,1333.0
22,90.5,717.63,1356.0
23,89.78,716.71,1380.0
24,90.53,716.02,1404.0
25,91.24,715.29,1429.0
26,90.94,714.49,1455.0
27,91.18,712.94,1477.0
28,91.38,712.34,1500.0
29,91.26,712.05,1525.0
30,91.5,710.75,1549.0
31,91.22,710.05,1574.0
32,91.47,709.81,1598.0
33,90.97,709.69,1622.0
34,91.34,708.59,1646.0
35,91.04,708.79,1668.0
36,91.35,708.16,1691.0
37,91.08,707.4,1714.0
38,91.63,707.13,1739.0
39,91.66,706.37,1763.0
