epoch,training_acc,training_loss,L2
0,33.89,874.89,857.0
1,39.3,841.31,904.0
2,43.52,820.66,942.0
3,48.09,806.08,980.0
4,51.37,788.35,1018.0
5,53.39,771.99,1053.0
6,58.11,761.1,1086.0
7,60.13,749.64,1117.0
8,61.73,740.11,1146.0
9,62.86,733.74,1175.0
10,63.98,728.4,1202.0
11,63.96,723.19,1229.0
12,64.57,719.3,1257.0
13,65.72,714.72,1285.0
14,66.62,710.23,1313.0
15,68.39,706.35,1341.0
16,64.72,702.72,1369.0
17,70.74,698.5,1398.0
18,71.23,694.59,1427.0
19,70.62,690.47,1456.0
20,71.94,686.92,1485.0
21,72.67,684.12,1514.0
22,73.09,680.31,1543.0
23,72.84,677.55,1572.0
24,74.24,673.75,1601.0
25,74.71,671.34,1630.0
26,75.7,669.22,1660.0
27,75.37,665.03,1689.0
28,75.72,662.82,1718.0
29,75.57,661.3,1749.0
30,75.26,658.63,1778.0
31,76.09,656.28,1807.0
32,76.4,652.76,1835.0
33,76.98,650.88,1863.0
34,77.49,648.09,1892.0
35,76.94,647.4,1921.0
36,77.89,644.27,1948.0
37,77.15,642.84,1976.0
38,77.79,641.7,2004.0
39,77.22,640.16,2031.0
